"Treatment","Gene","Coef","SE","CI_lower","CI_upper","Pval","I2","Q_Pval","FDR"
"Other","IRG_Yang",-1.52389800451167,0.901901019467304,-3.29159152028755,0.243795511264203,0.0910947332141638,0,0.560340976999834,0.273284199642491
"PD-(L)1","CellCycle_Reg",-1.66319861066393,0.59687284573498,-2.83304789165442,-0.493349329673438,0.00532771957776623,0,0.975168764167287,0.559410555665454
"Other","CRMA_Shukla",-0.305854075362239,1.05876238722581,-2.38099022251047,1.76928207178599,0.772674078801863,0.717260128386235,0.0291057396834824,0.772674078801863
"Other","NK-CD56-cells_Danaher",0.131449330388569,0.433850240200755,-0.718881515088962,0.981780175866101,0.761902671189109,0,0.880601281922302,0.772674078801863
"PD-(L)1","ADO_Sidders",-1.00030637507225,0.561239332953011,-2.10031525436744,0.0997025042229305,0.0746975604422562,0,0.655991970096149,0.985219526229011
"PD-(L)1","APM_Thompson",-0.982648198956759,0.839571761460093,-2.6281786138554,0.662882215941877,0.241833611317948,0.67184487547156,0.0159973283181519,0.985219526229011
"PD-(L)1","APM_Wang",-0.454076167494239,0.765521718477084,-1.95447116509253,1.04631883010406,0.553074686851581,0.661926589501079,0.018647272095909,0.985219526229011
"PD-(L)1","Base_excision_repair",-0.691551431218649,0.588845645857467,-1.84566768955251,0.462564827115214,0.240227295243623,0,0.441471825845257,0.985219526229011
"PD-(L)1","Bcell_Budczies",-0.542911493265975,0.298351973119312,-1.12767061529629,0.041847628764339,0.0688044950746167,0,0.600859842911197,0.985219526229011
"PD-(L)1","Bcell_Helmink",-1.5953660728334,0.727553044736074,-3.02134383735856,-0.169388308308235,0.0283230049767889,0,0.548944990351294,0.985219526229011
"PD-(L)1","Bcells_Danaher",-0.824339037393407,0.383424208381976,-1.57583667662286,-0.0728413981639532,0.0315599621611051,0,0.709675109135541,0.985219526229011
"PD-(L)1","Bcells_Rooney",-0.649504650011428,0.358734457423212,-1.35261126657444,0.0536019665515851,0.0702114110938961,0,0.519435334702869,0.985219526229011
