"Treatment","Gene","Coef","SE","CI_lower","CI_upper","Pval","I2","Q_Pval","FDR"
"Other","IRG_Yang",-0.873044147295035,0.533837483877434,-1.91934638929229,0.173258094702217,0.101962739862781,0.198291942272607,0.287268820209876,0.305888219588342
"PD-(L)1","ADO_Sidders",-0.880090822333318,0.349247029519076,-1.5646024218983,-0.195579222768333,0.011736599637459,0,0.955792712126884,0.641649240789294
"PD-(L)1","APM_Thompson",-0.893761057337887,0.362630805004499,-1.60450437483147,-0.183017739844302,0.0137143932830001,0.444025108980145,0.125956471379666,0.641649240789294
"PD-(L)1","APM_Wang",-0.479378833033225,0.296028066601288,-1.05958318198477,0.100825515918323,0.10536777728268,0.302795876522533,0.219652707352014,0.641649240789294
"PD-(L)1","Bcells_Rooney",-0.387183121562467,0.223397170449662,-0.82503352989196,0.0506672867670264,0.083067169477801,0,0.668613349200922,0.641649240789294
"PD-(L)1","Blood_Friedlander",-0.699096585458806,0.429411790399032,-1.54072822917777,0.142535058260159,0.103517878734626,0,0.520371164357344,0.641649240789294
"PD-(L)1","CCL5-CXCL9_Dangaj",-0.355410570034523,0.222380872004841,-0.791269070014624,0.0804479299455775,0.109997012706736,0.0606268642181583,0.362725416088469,0.641649240789294
"PD-(L)1","Co-Inhibition-Tcell_Rooney",-0.40612604439499,0.244259747388118,-0.884866352148553,0.0726142633585725,0.096376304710998,0.158075221468623,0.312649248455947,0.641649240789294
"PD-(L)1","Eosinophils_Bindea",-1.2842306545616,0.611404826921443,-2.48256209530158,-0.0858992138216286,0.0356885004264363,0,0.400729219515555,0.641649240789294
"PD-(L)1","ICB-resistance_Peng",-0.499159815607287,0.310168044574947,-1.1070780121294,0.108758380914823,0.107546262557836,0,0.418462067114443,0.641649240789294
"PD-(L)1","IMPRES_Auslander",1.07989975422848,0.665731873005218,-0.224910740222138,2.3847102486791,0.104776766401283,0.152021067771252,0.315889540204733,0.641649240789294
"PD-(L)1","Macrophage_Danaher",-0.451933665455139,0.233155387822377,-0.908909828388466,0.00504249747818802,0.0525821469980835,0.339225183050991,0.208739067058935,0.641649240789294
"PD-(L)1","MHC-II_Liu",-0.803831141316559,0.386925719600929,-1.56219161642662,-0.0454706662064948,0.0377571131000538,0,0.490313188827673,0.641649240789294
