"Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"R vs NR","ADO_Sidders","ICB_Gide__Melanoma__PD-(L)1",-1.967,1.157,38,0.0890449451319472,"Melanoma","PD-(L)1",0.101765651579368
"R vs NR","APM_Thompson","ICB_Gide__Melanoma__PD-(L)1",-3.002,0.999,38,0.0026531622463378,"Melanoma","PD-(L)1",0.0192235368838642
"R vs NR","APM_Wang","ICB_Gide__Melanoma__PD-(L)1",-2.565,0.91,38,0.00480588422096606,"Melanoma","PD-(L)1",0.0192235368838642
"R vs NR","Base_excision_repair","ICB_Gide__Melanoma__PD-(L)1",-0.817,1.14,38,0.473551056792586,"Melanoma","PD-(L)1",0.473551056792586
"R vs NR","Bcell_Budczies","ICB_Gide__Melanoma__PD-(L)1",-1.441,0.666,38,0.0306037517120647,"Melanoma","PD-(L)1",0.0408050022827529
"R vs NR","Bcell_Helmink","ICB_Gide__Melanoma__PD-(L)1",-3.088,1.403,38,0.0277532452460978,"Melanoma","PD-(L)1",0.0408050022827529
"R vs NR","Bcells_Danaher","ICB_Gide__Melanoma__PD-(L)1",-1.441,0.666,38,0.0306037517120647,"Melanoma","PD-(L)1",0.0408050022827529
"R vs NR","Bcells_Rooney","ICB_Gide__Melanoma__PD-(L)1",-1.793,0.789,38,0.0231154228735274,"Melanoma","PD-(L)1",0.0408050022827529
"R vs NR","aDC_Bindea","ICB_Hugo__Melanoma__PD-(L)1",0.024,0.809,27,0.975915841121177,"Melanoma","PD-(L)1",0.987332195895242
"R vs NR","ADO_Sidders","ICB_Hugo__Melanoma__PD-(L)1",-0.023,1.46,27,0.987332195895242,"Melanoma","PD-(L)1",0.987332195895242
"R vs NR","APM_Thompson","ICB_Hugo__Melanoma__PD-(L)1",-1.951,1.015,27,0.0546780781187962,"Melanoma","PD-(L)1",0.686513647491552
"R vs NR","APM_Wang","ICB_Hugo__Melanoma__PD-(L)1",-1.529,1.066,27,0.151533528536199,"Melanoma","PD-(L)1",0.825765093574571
"R vs NR","Base_excision_repair","ICB_Hugo__Melanoma__PD-(L)1",-1.298,1.571,27,0.408741458459046,"Melanoma","PD-(L)1",0.959596709944738
"R vs NR","Bcell_Budczies","ICB_Hugo__Melanoma__PD-(L)1",-0.405,0.734,27,0.581501752265283,"Melanoma","PD-(L)1",0.959596709944738
"R vs NR","Bcell_Helmink","ICB_Hugo__Melanoma__PD-(L)1",0.513,2.325,27,0.8251998715642,"Melanoma","PD-(L)1",0.987332195895242
"R vs NR","Bcells_Danaher","ICB_Hugo__Melanoma__PD-(L)1",-0.405,0.734,27,0.581501752265283,"Melanoma","PD-(L)1",0.959596709944738
"R vs NR","Bcells_Rooney","ICB_Hugo__Melanoma__PD-(L)1",-0.363,0.843,27,0.666453830053303,"Melanoma","PD-(L)1",0.959596709944738
"R vs NR","Blood_Friedlander","ICB_Hugo__Melanoma__PD-(L)1",1.066,1.539,27,0.4885122640203,"Melanoma","PD-(L)1",0.959596709944738
"R vs NR","C-ECM_Chakravarthy","ICB_Hugo__Melanoma__PD-(L)1",4.576,2.036,27,0.0245889143768777,"Melanoma","PD-(L)1",0.618010924258252
"R vs NR","CAF_Peng","ICB_Hugo__Melanoma__PD-(L)1",2.161,1.089,27,0.047222274488063,"Melanoma","PD-(L)1",0.685895077577579
"R vs NR","CCL5-CXCL9_Dangaj","ICB_Hugo__Melanoma__PD-(L)1",0.062,0.733,27,0.93288793340183,"Melanoma","PD-(L)1",0.987332195895242
"R vs NR","CD39-CD8Tcell_Chow","ICB_Hugo__Melanoma__PD-(L)1",-0.185,0.751,27,0.805616881925637,"Melanoma","PD-(L)1",0.987332195895242
"R vs NR","CD8_Rooney","ICB_Hugo__Melanoma__PD-(L)1",-0.077,0.703,27,0.912716537981693,"Melanoma","PD-(L)1",0.987332195895242
