"Cancer_type","Gene","Coef","SE","CI_lower","CI_upper","Pval","I2","Q_Pval","FDR"
"Melanoma","APM_Thompson",-1.05934018929571,0.268545430687025,-1.58567956165508,-0.533000816936345,7.98887350167114e-05,0.0191551337997956,0.395537098619243,0.00838045702434708
"Melanoma","PassON_Du",-2.41493272491025,0.638821614027796,-3.66700008095047,-1.16286536887002,0.000156644056529852,0,0.559081033519244,0.00838045702434708
"Melanoma","MHC-II_Liu",-1.26587792992548,0.389591060957096,-2.02946237810014,-0.502293481750827,0.00115710598223965,0.0755030554734555,0.355370132690447,0.0412701133665474
"Melanoma","Bcells_Danaher",-0.679357349401163,0.226602214750903,-1.12348952912994,-0.235225169672382,0.0027174228919649,0,0.734005167191195,0.0726910623600611
"Melanoma","ADO_Sidders",-0.820823442844581,0.329332840988176,-1.46630395010766,-0.1753429355815,0.012688927052813,0,0.944878377298373,0.1362200747075
"Melanoma","APM_Wang",-0.755254565465958,0.303167639255566,-1.3494522196849,-0.161056911247016,0.0127308481035046,0.354315280919494,0.185052980544722,0.1362200747075
"Melanoma","Bcells_Rooney",-0.563919702561682,0.214099378629329,-0.98354677378757,-0.144292631335794,0.00844064556288094,0.0188463894741614,0.395707408752897,0.1362200747075
"Melanoma","Myeloid-DC_Helmink",-0.547569880478746,0.210167470689856,-0.959490553752741,-0.13564920720475,0.00917676274499407,0,0.422272525788791,0.1362200747075
"Melanoma","Tcell-regulatory_Peng",-1.22317244879927,0.48242405082571,-2.16870621369358,-0.277638683904953,0.011229605435586,0.168602178314764,0.306975131142297,0.1362200747075
"Melanoma","Tcells_Bindea",-0.616644631919323,0.244457315041663,-1.09577216515834,-0.137517098680302,0.0116522520726718,0.303927253802283,0.229887104655605,0.1362200747075
"Melanoma","Bcell_Budczies",-0.468066393749419,0.214130887504215,-0.887755221235279,-0.0483775662635593,0.0288237127926649,0.0901590990506478,0.355012392928892,0.209080687939123
"Melanoma","ImmuneScore_Roh",-0.666872473313554,0.308301427011855,-1.27113216663909,-0.0626127799880142,0.0305370668459777,0.320483449268952,0.22000745860021,0.209080687939123
"Melanoma","MHC-I_Rooney",-0.487876548499201,0.229110978186002,-0.936925814206506,-0.0388272827918965,0.0332184270557486,0.0609430224171805,0.362570184006475,0.209080687939123
"Melanoma","NK-cells_Danaher",-0.445729385286332,0.195181743527717,-0.828278573040392,-0.0631801975322723,0.0223913262715222,0,0.539702518081446,0.209080687939123
"Melanoma","Response_Chen",-0.727311018770633,0.325551211282243,-1.36537966800722,-0.0892423695340469,0.0254770885770987,0.329505055905137,0.214593555344399,0.209080687939123
"Melanoma","Tcell-accumulation_Peng",-0.698541959896969,0.327331481594025,-1.34009987482739,-0.0569840449665443,0.0328386352263256,0,0.605854693246278,0.209080687939123
"Melanoma","TLS_Cabrita",-0.572082937955663,0.257114135729101,-1.07601738390084,-0.0681484920104819,0.0260801974488378,0.051714968185251,0.367081712031227,0.209080687939123
"Melanoma","Blood_Friedlander",-0.749417688639979,0.408015340798119,-1.54911306174413,0.0502776844641691,0.0662484350554714,0,0.515167422509717,0.245740345303929
"Melanoma","CD39-CD8Tcell_Chow",-0.614649708542818,0.323751821169193,-1.24919161796369,0.0198922008780518,0.0576274526980734,0.526641107716212,0.0962883245562109,0.245740345303929
"Melanoma","Cytotoxic-cells_Bindea",-0.718305957779422,0.391586769341637,-1.48580192251142,0.0491900069525799,0.0666025234935884,0.533056087221457,0.0926777065693022,0.245740345303929
"Melanoma","ICB-resistance_Peng",-0.6455856329916,0.3472577427384,-1.32619830211154,0.0350270361283396,0.0630134699271239,0.329473694268235,0.214612409881888,0.245740345303929
"Melanoma","IRG_Ayers",-0.350127276173579,0.18875323781045,-0.720076824247385,0.019822271900227,0.0636037772712739,0.503120457505946,0.109791301633671,0.245740345303929
"Melanoma","Macrophage_Danaher",-0.457982259388752,0.240267068716611,-0.92889706074432,0.0129325419668155,0.0566322660958995,0.353833686390881,0.199903818271245,0.245740345303929
"Melanoma","Macrophages_Rooney",-0.54089180635,0.29131839458324,-1.11186536776718,0.0300817550671788,0.0633533866656919,0.361178312031707,0.195447693841018,0.245740345303929
"Melanoma","peri-Tcell_Hwang",-0.91648750244532,0.477368439328775,-1.85211245088581,0.0191374459951724,0.0548737513190805,0.264440085524299,0.253108668917856,0.245740345303929
"Melanoma","PPAGs",0.729875713348562,0.396414188574927,-0.0470818192189637,1.50683324591609,0.0655930279443245,0,0.899178190487508,0.245740345303929
"Melanoma","STAT1_Care",-0.463351471187509,0.227908693897042,-0.910044302989274,-0.0166586393857434,0.0420467177646387,0.0709675058697479,0.357623738054817,0.245740345303929
"Melanoma","Tcells_Danaher",-0.541557887184605,0.282496748575071,-1.09524134014141,0.0121255657722018,0.055232706125555,0.490463821198969,0.117203156869911,0.245740345303929
"Melanoma","TIS_Damotte",-0.601165539066221,0.319914273572533,-1.22818599340868,0.025854915276238,0.0602245983474975,0.448964988385305,0.142008301457109,0.245740345303929
"Melanoma","IFN_Ayers",-0.314885704920601,0.174566679384342,-0.657030109414663,0.0272586995734606,0.0712605739348215,0.434564469076063,0.150736537333503,0.245963916484707
"Melanoma","Tcm_Bindea",-1.01277054920795,0.557928002456331,-2.10628933998873,0.0807482415728307,0.0694877724038307,0,0.616385056104923,0.245963916484707
"Melanoma","MHC-I_Liu",-0.890951786340602,0.502105114303585,-1.875059726829,0.0931561541477917,0.075991587620794,0.307212634894477,0.227932719210942,0.25409687110703
