"Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"PFS","ADO_Sidders","ICB_Gide__Melanoma__PD-(L)1",-1.515,0.725,41,0.0366933656146536,"Melanoma","PD-(L)1",0.0740164964237908
"PFS","APM_Thompson","ICB_Gide__Melanoma__PD-(L)1",-1.881,0.523,41,0.000318604930646882,"Melanoma","PD-(L)1",0.00254883944517505
"PFS","APM_Wang","ICB_Gide__Melanoma__PD-(L)1",-1.631,0.481,41,0.000698183820133678,"Melanoma","PD-(L)1",0.00279273528053471
"PFS","Base_excision_repair","ICB_Gide__Melanoma__PD-(L)1",-0.589,0.7,41,0.40020778250714,"Melanoma","PD-(L)1",0.40020778250714
"PFS","Bcell_Budczies","ICB_Gide__Melanoma__PD-(L)1",-0.757,0.404,41,0.0609280235203483,"Melanoma","PD-(L)1",0.0812373646937977
"PFS","Bcell_Helmink","ICB_Gide__Melanoma__PD-(L)1",-1.878,0.9,41,0.0370082482118954,"Melanoma","PD-(L)1",0.0740164964237908
"PFS","Bcells_Danaher","ICB_Gide__Melanoma__PD-(L)1",-0.757,0.404,41,0.0609280235203483,"Melanoma","PD-(L)1",0.0812373646937977
"PFS","Bcells_Rooney","ICB_Gide__Melanoma__PD-(L)1",-0.772,0.437,41,0.0768563975375126,"Melanoma","PD-(L)1",0.0878358829000144
"PFS","ADO_Sidders","ICB_Liu__Melanoma__PD-(L)1",-0.054,0.529,74,0.918592272673678,"Melanoma","PD-(L)1",0.990775726475558
"PFS","APM_Thompson","ICB_Liu__Melanoma__PD-(L)1",-0.541,0.358,74,0.130334605317408,"Melanoma","PD-(L)1",0.958872273295557
"PFS","APM_Wang","ICB_Liu__Melanoma__PD-(L)1",-0.146,0.355,74,0.680547991672574,"Melanoma","PD-(L)1",0.990775726475558
"PFS","Base_excision_repair","ICB_Liu__Melanoma__PD-(L)1",-0.554,0.522,74,0.28875438871692,"Melanoma","PD-(L)1",0.958872273295557
"PFS","Bcell_Budczies","ICB_Liu__Melanoma__PD-(L)1",0.128,0.278,74,0.644132234251226,"Melanoma","PD-(L)1",0.990775726475558
"PFS","Bcell_Helmink","ICB_Liu__Melanoma__PD-(L)1",0.151,0.68,74,0.823767302126609,"Melanoma","PD-(L)1",0.990775726475558
"PFS","Bcells_Rooney","ICB_Liu__Melanoma__PD-(L)1",-0.027,0.335,74,0.93573587873397,"Melanoma","PD-(L)1",0.990775726475558
"PFS","Blood_Friedlander","ICB_Liu__Melanoma__PD-(L)1",-0.924,0.584,74,0.113158606804169,"Melanoma","PD-(L)1",0.958872273295557
"PFS","C-ECM_Chakravarthy","ICB_Liu__Melanoma__PD-(L)1",0.124,0.639,74,0.845783929802793,"Melanoma","PD-(L)1",0.990775726475558
"PFS","CAF_Peng","ICB_Liu__Melanoma__PD-(L)1",-0.216,0.393,74,0.582867017239498,"Melanoma","PD-(L)1",0.990775726475558
"PFS","CCL5-CXCL9_Dangaj","ICB_Liu__Melanoma__PD-(L)1",-0.253,0.279,74,0.363769223485441,"Melanoma","PD-(L)1",0.958872273295557
"PFS","CD39-CD8Tcell_Chow","ICB_Liu__Melanoma__PD-(L)1",-0.25,0.3,74,0.404634612253725,"Melanoma","PD-(L)1",0.958872273295557
"PFS","CD8_Rooney","ICB_Liu__Melanoma__PD-(L)1",-0.019,0.266,74,0.942583684100368,"Melanoma","PD-(L)1",0.990775726475558
"PFS","CD8_Sade-Feldman ","ICB_Liu__Melanoma__PD-(L)1",-0.01,0.564,74,0.986076608733142,"Melanoma","PD-(L)1",0.992539187237997
"PFS","CD8_Tcells_Bindea","ICB_Liu__Melanoma__PD-(L)1",0.656,0.654,74,0.315922616469022,"Melanoma","PD-(L)1",0.958872273295557
"PFS","CD8_Tcells_Danaher","ICB_Liu__Melanoma__PD-(L)1",-0.041,0.251,74,0.870587483125,"Melanoma","PD-(L)1",0.990775726475558
"PFS","CellCycle","ICB_Liu__Melanoma__PD-(L)1",-0.488,0.561,74,0.384533313856257,"Melanoma","PD-(L)1",0.958872273295557
"PFS","CellCycle_Reg","ICB_Liu__Melanoma__PD-(L)1",-0.796,0.436,74,0.0676647862111255,"Melanoma","PD-(L)1",0.958872273295557
"PFS","CIN25_Carter","ICB_Liu__Melanoma__PD-(L)1",-0.366,0.313,74,0.24180285385558,"Melanoma","PD-(L)1",0.958872273295557
"PFS","CIN70_Carter","ICB_Liu__Melanoma__PD-(L)1",-0.391,0.35,74,0.265045019766302,"Melanoma","PD-(L)1",0.958872273295557
"PFS","Co-Inhibition-APC_Rooney","ICB_Liu__Melanoma__PD-(L)1",-0.472,0.36,74,0.189892361810533,"Melanoma","PD-(L)1",0.958872273295557
"PFS","Co-Inhibition-Tcell_Rooney","ICB_Liu__Melanoma__PD-(L)1",-0.236,0.315,74,0.454380687839985,"Melanoma","PD-(L)1",0.958872273295557
"PFS","Co-Stimulation-APC_Rooney","ICB_Liu__Melanoma__PD-(L)1",-0.058,0.395,74,0.883426308042264,"Melanoma","PD-(L)1",0.990775726475558
"PFS","Co-Stimulation-Tcell_Rooney","ICB_Liu__Melanoma__PD-(L)1",-0.16,0.324,74,0.622184639679772,"Melanoma","PD-(L)1",0.990775726475558
"PFS","COX-IS_Bonavita","ICB_Liu__Melanoma__PD-(L)1",-0.264,0.15,74,0.0786686403932625,"Melanoma","PD-(L)1",0.958872273295557
"PFS","CYT_Davoli","ICB_Liu__Melanoma__PD-(L)1",-0.086,0.272,74,0.751712799651959,"Melanoma","PD-(L)1",0.990775726475558
"PFS","CYT_Rooney","ICB_Liu__Melanoma__PD-(L)1",-0.046,0.25,74,0.855513328598226,"Melanoma","PD-(L)1",0.990775726475558
"PFS","Cytotoxic-cells_Bindea","ICB_Liu__Melanoma__PD-(L)1",0.098,0.343,74,0.775570781567855,"Melanoma","PD-(L)1",0.990775726475558
"PFS","Cytotoxic-cells_Danaher","ICB_Liu__Melanoma__PD-(L)1",-0.084,0.284,74,0.768253387329945,"Melanoma","PD-(L)1",0.990775726475558
"PFS","DC_Bindea","ICB_Liu__Melanoma__PD-(L)1",-0.554,0.349,74,0.111988112244771,"Melanoma","PD-(L)1",0.958872273295557
"PFS","DC_Danaher","ICB_Liu__Melanoma__PD-(L)1",-0.422,0.278,74,0.12877947790547,"Melanoma","PD-(L)1",0.958872273295557
"PFS","DDR","ICB_Liu__Melanoma__PD-(L)1",-0.608,0.597,74,0.308490664931264,"Melanoma","PD-(L)1",0.958872273295557
"PFS","DNA_replication","ICB_Liu__Melanoma__PD-(L)1",-0.167,0.408,74,0.682527130258646,"Melanoma","PD-(L)1",0.990775726475558
"PFS","EMT_Thompson","ICB_Liu__Melanoma__PD-(L)1",0.307,0.484,74,0.526439679456384,"Melanoma","PD-(L)1",0.958872273295557
"PFS","EMT1","ICB_Liu__Melanoma__PD-(L)1",0.259,0.552,74,0.638277691065284,"Melanoma","PD-(L)1",0.990775726475558
"PFS","EMT2","ICB_Liu__Melanoma__PD-(L)1",0.032,0.332,74,0.922497523315354,"Melanoma","PD-(L)1",0.990775726475558
"PFS","EMT3","ICB_Liu__Melanoma__PD-(L)1",0.361,0.458,74,0.430326546349605,"Melanoma","PD-(L)1",0.958872273295557
"PFS","EMTstroma_Wang","ICB_Liu__Melanoma__PD-(L)1",-0.357,0.379,74,0.346100633762759,"Melanoma","PD-(L)1",0.958872273295557
"PFS","Eosinophils_Bindea","ICB_Liu__Melanoma__PD-(L)1",-0.149,0.783,74,0.849029393990786,"Melanoma","PD-(L)1",0.990775726475558
"PFS","GPAGs","ICB_Liu__Melanoma__PD-(L)1",0.232,0.562,74,0.67939240877153,"Melanoma","PD-(L)1",0.990775726475558
"PFS","Homologous_recombination","ICB_Liu__Melanoma__PD-(L)1",-0.365,0.472,74,0.439906583733595,"Melanoma","PD-(L)1",0.958872273295557
"PFS","ICB-resistance_Peng","ICB_Liu__Melanoma__PD-(L)1",-0.383,0.392,74,0.328058147637364,"Melanoma","PD-(L)1",0.958872273295557
"PFS","iDC_Bindea","ICB_Liu__Melanoma__PD-(L)1",0.126,0.569,74,0.82536598108801,"Melanoma","PD-(L)1",0.990775726475558
"PFS","IFN_Ayers","ICB_Liu__Melanoma__PD-(L)1",-0.154,0.182,74,0.398724760954291,"Melanoma","PD-(L)1",0.958872273295557
"PFS","ImmuneCells_Xiong","ICB_Liu__Melanoma__PD-(L)1",0.442,0.987,74,0.654508017430446,"Melanoma","PD-(L)1",0.990775726475558
"PFS","ImmuneScore_Roh","ICB_Liu__Melanoma__PD-(L)1",-0.285,0.314,74,0.365037877502864,"Melanoma","PD-(L)1",0.958872273295557
"PFS","ImmunoScore_Hao","ICB_Liu__Melanoma__PD-(L)1",-0.363,0.395,74,0.358292273296371,"Melanoma","PD-(L)1",0.958872273295557
"PFS","IMPRES_Auslander","ICB_Liu__Melanoma__PD-(L)1",0.88,0.524,74,0.0932228046280241,"Melanoma","PD-(L)1",0.958872273295557
"PFS","IMS_Cui","ICB_Liu__Melanoma__PD-(L)1",-0.301,0.387,74,0.436551659803869,"Melanoma","PD-(L)1",0.958872273295557
"PFS","Inflammatory_Thompson","ICB_Liu__Melanoma__PD-(L)1",-0.102,0.273,74,0.707806842870406,"Melanoma","PD-(L)1",0.990775726475558
"PFS","IPRES_Hugo","ICB_Liu__Melanoma__PD-(L)1",0.567,0.958,74,0.553605077482768,"Melanoma","PD-(L)1",0.984349219216493
"PFS","IPS_Charoentong","ICB_Liu__Melanoma__PD-(L)1",0.097,0.14,74,0.489026316510248,"Melanoma","PD-(L)1",0.958872273295557
"PFS","IPSOV_Shen","ICB_Liu__Melanoma__PD-(L)1",-0.981,1.334,74,0.462129606513121,"Melanoma","PD-(L)1",0.958872273295557
"PFS","IRG_Ayers","ICB_Liu__Melanoma__PD-(L)1",-0.202,0.189,74,0.285427281655015,"Melanoma","PD-(L)1",0.958872273295557
"PFS","KDM5A_Wang","ICB_Liu__Melanoma__PD-(L)1",-0.004,0.463,74,0.992539187237997,"Melanoma","PD-(L)1",0.992539187237997
"PFS","M1_Hwang","ICB_Liu__Melanoma__PD-(L)1",-0.126,0.589,74,0.8304447735206,"Melanoma","PD-(L)1",0.990775726475558
"PFS","Macrophage_Danaher","ICB_Liu__Melanoma__PD-(L)1",-0.292,0.262,74,0.264720261804043,"Melanoma","PD-(L)1",0.958872273295557
"PFS","Macrophages_Bindea","ICB_Liu__Melanoma__PD-(L)1",-0.27,0.463,74,0.559727987397614,"Melanoma","PD-(L)1",0.984349219216493
"PFS","Macrophages_Rooney","ICB_Liu__Melanoma__PD-(L)1",-0.652,0.362,74,0.0717982031801019,"Melanoma","PD-(L)1",0.958872273295557
"PFS","Mast-cells_Bindea","ICB_Liu__Melanoma__PD-(L)1",0.154,0.421,74,0.714732258324854,"Melanoma","PD-(L)1",0.990775726475558
"PFS","Mast-cells_Danaher","ICB_Liu__Melanoma__PD-(L)1",-0.006,0.256,74,0.981243251473363,"Melanoma","PD-(L)1",0.992539187237997
"PFS","MDSC_Peng","ICB_Liu__Melanoma__PD-(L)1",0.425,0.632,74,0.501455964653794,"Melanoma","PD-(L)1",0.958872273295557
"PFS","MHC-I_Liu","ICB_Liu__Melanoma__PD-(L)1",-0.162,0.455,74,0.722293985926589,"Melanoma","PD-(L)1",0.990775726475558
"PFS","MHC-I_Rooney","ICB_Liu__Melanoma__PD-(L)1",-0.258,0.259,74,0.319071587405062,"Melanoma","PD-(L)1",0.958872273295557
"PFS","MHC-II_Liu","ICB_Liu__Melanoma__PD-(L)1",-0.641,0.485,74,0.186454524028601,"Melanoma","PD-(L)1",0.958872273295557
"PFS","Myeloid-DC_Helmink","ICB_Liu__Melanoma__PD-(L)1",-0.241,0.284,74,0.395117969111936,"Melanoma","PD-(L)1",0.958872273295557
"PFS","Neutrophils_Bindea","ICB_Liu__Melanoma__PD-(L)1",0.265,0.469,74,0.571768895822838,"Melanoma","PD-(L)1",0.98848181989711
"PFS","NK-cells_Danaher","ICB_Liu__Melanoma__PD-(L)1",-0.175,0.267,74,0.513810896189551,"Melanoma","PD-(L)1",0.958872273295557
"PFS","NK-cells_Rooney","ICB_Liu__Melanoma__PD-(L)1",0.172,0.252,74,0.495309820714732,"Melanoma","PD-(L)1",0.958872273295557
"PFS","NonResponse_Chen","ICB_Liu__Melanoma__PD-(L)1",-0.292,0.36,74,0.417087902928408,"Melanoma","PD-(L)1",0.958872273295557
"PFS","Nucleotide-excision-repair","ICB_Liu__Melanoma__PD-(L)1",-0.416,0.527,74,0.429325075398971,"Melanoma","PD-(L)1",0.958872273295557
"PFS","PassON_Du","ICB_Liu__Melanoma__PD-(L)1",-1.863,0.874,74,0.0331559275673468,"Melanoma","PD-(L)1",0.958872273295557
"PFS","PDL1_Nishino","ICB_Liu__Melanoma__PD-(L)1",-0.121,0.28,74,0.665437220056139,"Melanoma","PD-(L)1",0.990775726475558
"PFS","peri-Tcell_Hwang","ICB_Liu__Melanoma__PD-(L)1",-0.616,0.574,74,0.283299933915203,"Melanoma","PD-(L)1",0.958872273295557
"PFS","PPAGs","ICB_Liu__Melanoma__PD-(L)1",0.055,0.565,74,0.921991620035835,"Melanoma","PD-(L)1",0.990775726475558
