"Treatment","Gene","Coef","SE","CI_lower","CI_upper","Pval","I2","Q_Pval","FDR"
"PD-(L)1","ADO_Sidders",-0.659508183062018,0.589546601326313,-1.81499828886958,0.495981922745548,0.263280885525895,0.245298722937392,0.265795630728419,0.368593239736253
"PD-(L)1","APM_Thompson",-0.899566622819084,0.56909020049642,-2.01496291974675,0.215829674108577,0.113944339940274,0.643970109521964,0.0602801187360735,0.368593239736253
"PD-(L)1","APM_Wang",-0.651264702912279,0.559024172168714,-1.74693194685028,0.444402541025719,0.244017876052118,0.702823489865229,0.0345618947698425,0.368593239736253
"PD-(L)1","Base_excision_repair",-0.520798670195611,0.401965890518143,-1.30863733862474,0.267039998233521,0.195103328368607,0,0.924959896525494,0.368593239736253
"PD-(L)1","Bcells_Rooney",-0.471295489075215,0.375204139141433,-1.20668208864278,0.26409111049235,0.209078199336877,0.380876192233552,0.198853714445412,0.368593239736253
"Other","Bcells_Danaher",-0.590196222446557,0.242655942952729,-1.06579313126851,-0.114599313624602,0.0150059771344613,0,0.873087520135521,0.423608755478354
"Other","COX-IS_Bonavita",-0.280727549906194,0.127630698696359,-0.53087912267274,-0.030575977139647,0.0278402588326638,0,0.528589469306997,0.423608755478354
"Other","IMPRES_Auslander",1.01384341635735,0.478844648537961,0.0753251510332021,1.95236168168149,0.0342369381684446,0,0.547700081182707,0.423608755478354
"Other","IRG_Ayers",-0.350796015396893,0.169137972786907,-0.682300350477346,-0.0192916803164387,0.0380771915036722,0,0.439683917505878,0.423608755478354
"Other","Macrophage_Danaher",-0.425173903568935,0.203879010376544,-0.824769421110629,-0.0255783860272403,0.037030953751742,0,0.720478970661585,0.423608755478354
"Other","Macrophages_Rooney",-0.634066047313636,0.280573582329336,-1.18398016369252,-0.0841519309347533,0.0238279427824649,0,0.943357414516267,0.423608755478354
"Other","MHC-I_Rooney",-0.407203482824079,0.195834931970035,-0.7910328964002,-0.0233740692479585,0.037587951773041,0,0.580172516025421,0.423608755478354
"Other","PassON_Du",-1.57000602894607,0.633843944014709,-2.81231733103373,-0.327694726858422,0.0132506790384866,0,0.810343624164281,0.423608755478354
"PD-(L)1","Bcell_Budczies",-0.276223577777373,0.338131880256616,-0.93894988510515,0.386502729550404,0.413979417287185,0.409434520854386,0.183913022592458,0.48297598683505
"Other","CCL5-CXCL9_Dangaj",-0.358012222631077,0.213978463961042,-0.777402305461922,0.0613778601997668,0.0943031461499154,0,0.777740823992769,0.489031329206518
"Other","CD39-CD8Tcell_Chow",-0.392853503391634,0.226331148995299,-0.836454404001989,0.0507473972187205,0.082608664686396,0,0.479184347862881,0.489031329206518
"Other","DC_Bindea",-0.438163996605145,0.254548651968086,-0.937070186775814,0.0607421935655253,0.0851897007345989,0,0.88850291999968,0.489031329206518
"Other","DC_Danaher",-0.358624519899418,0.201833767758902,-0.754211435570888,0.036962395772051,0.0755960297805382,0,0.842675808570951,0.489031329206518
"Other","EMT3",0.509291140138236,0.299162467360693,-0.0770565214148616,1.09563880169133,0.0886823163715009,0,0.541985300769192,0.489031329206518
"Other","IFN_Ayers",-0.254069965514678,0.141593547957286,-0.531588219954204,0.0234482889248472,0.0727555391547325,0,0.537568314449217,0.489031329206518
"Other","ImmunoScore_Hao",-0.531792344680882,0.304137057699322,-1.12789002413553,0.0643053347737704,0.0803725371424422,0,0.591768976701586,0.489031329206518
"Other","MHC-II_Liu",-0.700289446880754,0.387856087686995,-1.46047340993187,0.0598945161703666,0.0709903162322583,0,0.941814360441278,0.489031329206518
"Other","Response_Chen",-0.462216905259766,0.277811922780091,-1.00671826838457,0.082284457865034,0.0961571330334132,0,0.851934014847302,0.489031329206518
"Other","Tcells_Danaher",-0.330325903743736,0.200175138113453,-0.722661965046435,0.0620101575589627,0.0989052126485092,0,0.687114038637952,0.489031329206518
"Other","Blood_Friedlander",-0.615650956380979,0.430842436097941,-1.46008661414444,0.228784701382484,0.153019500716346,0,0.500389876860517,0.492652646787135
"Other","CellCycle",-0.594145247895426,0.423391335719328,-1.42397701727162,0.235686521480764,0.16052726693064,0,0.956064111303301,0.492652646787135
"Other","CellCycle_Reg",-0.577101791603524,0.359022866696953,-1.28077367995588,0.126570096748829,0.107961499245913,0.0391230374324252,0.353201709636092,0.492652646787135
"Other","Co-Inhibition-Tcell_Rooney",-0.368673379293557,0.237341505515749,-0.833854182140939,0.0965074235538258,0.120340595758867,0,0.770763998734913,0.492652646787135
"Other","CYT_Davoli",-0.290866124091105,0.20490571036375,-0.69247393663065,0.110741688448441,0.155749787564776,0,0.530244751784341,0.492652646787135
"Other","ImmuneScore_Roh",-0.37361923056616,0.245974113442553,-0.855719634042733,0.108481172910412,0.128778304802469,0,0.643928659975481,0.492652646787135
"Other","IPSOV_Shen",-1.44134171567397,1.00836941476696,-3.41770945172894,0.535026020381006,0.152895430593443,0,0.647607706671951,0.492652646787135
"Other","peri-Tcell_Hwang",-0.611737705477237,0.432766951952593,-1.4599453450035,0.23646993404902,0.157494084023752,0,0.893962540453473,0.492652646787135
"Other","Tcells_Bindea",-0.331111767020027,0.215283698296101,-0.753060062138972,0.090836528098917,0.124042437561953,0,0.863379665333231,0.492652646787135
"Other","TIS_Damotte",-0.368618896812864,0.233784574622791,-0.826828243214551,0.0895904495888223,0.11485397747691,0,0.518947434574549,0.492652646787135
"Other","TMEscoreB_plus",0.631306843681108,0.436979364303117,-0.22515697234021,1.48777065970243,0.148540397576418,0.229991896117409,0.272889690205819,0.492652646787135
"Other","Cytotoxic-cells_Danaher",-0.264607246963938,0.210088880314257,-0.676373885932227,0.147159392004351,0.207849270980944,0,0.636239992368882,0.521783086820445
"Other","ICB-resistance_Peng",-0.392672464684461,0.304616985408162,-0.989710785163622,0.2043658557947,0.197373926253934,0,0.986497115003903,0.521783086820445
"Other","MHC-I_Liu",-0.488154111979726,0.385402153778773,-1.24352845295029,0.267220228990837,0.205294877134528,0,0.488205358148648,0.521783086820445
"Other","PTEN-MITF_Cabrita",-0.248193696303588,0.191010495523914,-0.622567388199607,0.126179995592432,0.193816283936675,0,0.991474161784983,0.521783086820445
"Other","Tcell-inflamed_Ayers",-0.318633375933928,0.242495494192784,-0.793915810965026,0.156649059097169,0.188854119286672,0,0.423632219673698,0.521783086820445
"Other","TLS_Cabrita",-0.350165775378667,0.269469659723335,-0.878316603362666,0.177985052605333,0.193785181361356,0,0.692795505289557,0.521783086820445
"Other","TMEscoreA_plus",-0.321569232462995,0.257119501352946,-0.825514194837666,0.182375729911676,0.211058327253214,0,0.707034274837919,0.521783086820445
"Other","STAT1_Care",-0.278253779884821,0.225416548979349,-0.720062097403654,0.163554537634011,0.217054563444768,0,0.806283625960585,0.522104220177956
"Other","CYT_Rooney",-0.261753094041793,0.228857590610286,-0.710305729226566,0.18679954114298,0.252732361526169,0,0.40681493112744,0.576748209636643
"Other","Inflammatory_Thompson",-0.247225593602486,0.214504265790403,-0.667646229081883,0.17319504187691,0.249097620785061,0,0.472510950975228,0.576748209636643
"PD-(L)1","Bcell_Helmink",-0.472097725051222,0.857488039924609,-2.1527434004773,1.20854795037486,0.581936047465931,0.505528551127148,0.132342574430862,0.581936047465931
"Other","CIN25_Carter",-0.247819005983538,0.228347207339593,-0.695371308339441,0.199733296372366,0.27780086289623,0,0.851276511624598,0.618106919944112
